station,name,rows,cols,lat,lon
58926099999,ZHANG PING- CH,1152,939,25.3,117.4
72506994624,CHATHAM MUNICIPAL AIRPORT- MA US,1316,2320,41.68778,290.00682
71728099999,ROBERVAL A- CA,1385,2302,48.5166666,287.7333334
72256353952,WACO MCGREGOR EXECUTIVE AIRPORT- TX US,1214,2101,31.48472,262.68361
47131099999,CHEONGJU- KS,1266,1020,36.6333333,127.45
72254413958,AUSTIN CAMP MABRY- TX US,1203,2098,30.3208,262.2396
31534099999,SEKTAGLI- RS,1404,1048,50.4333333,131.0166666
24329099999,SHELAGONTSY- RS,1562,914,66.25,114.2833333
48037099999,MONYWA- BM,1120,761,22.1,95.1333333
72651794039,PINE RIDGE AIRPORT- SD US,1330,2060,43.02614,257.47999
68234099999,JWANENG- BC,653,198,-24.602333,24.690971
72510954782,HERITAGE FIELD AIRPORT- PA US,1302,2276,40.23803,284.44515
72408454760,BELMAR FARMINGDALE ALLAIRE AIRPORT- NJ US,1301,2287,40.186919,285.875114
72352953929,ARDMORE DOWNTOWN AIRPORT- OK US,1241,2103,34.14694,262.8775
37832099999,BARDA- AJ,1303,377,40.3666666,47.1166666
08280099999,ALBACETE- SP,1289,2865,38.948528,358.136483
65510099999,BOBO DIOULASSO- UV,1011,2845,11.160056,355.669031
82704099999,CRUZEIRO DO SUL- BR,824,2298,-7.599906,287.230511
71364099999,INUVIK CLIMATE NWT- CA,1583,1812,68.3166666,226.4833334
72638094814,HOUGHTON LAKE ROSCOMMON CO AIRPORT- MI US,1343,2203,44.35904,275.3261
07603099999,DAX SEYRESSE- FR,1336,2871,43.6833333,358.9333333
71618099999,CHURCHILL- CA,1487,2127,58.73906,265.93363
72307993796,AHOSKIE TRI CO AIRPORT- NC US,1262,2263,36.2975,282.82917
94310099999,BEDOUT ISLAND- AS,704,953,-19.5833333,119.1
76499099999,SOTO LA MARINA TAMPS.- MX,1137,2094,23.7666666,261.8
29557099999,TISUL- RS,1457,707,55.75,88.3166666
63799099999,MALINDI- KE,867,321,-3.229306,40.101667
71869099999,PRINCE ALBERT GLASS FIELD- CA,1432,2035,53.214167,254.327222
47744099999,YONAGO- JA,1254,1067,35.4333333,133.3333333
72344593993,FAYETTEVILLE DRAKE FIELD- AR US,1260,2127,36.01027,265.83176000000003
02835099999,INARI NELLIM- FI,1588,226,68.85,28.3
72274793084,SAFFORD MUNICIPAL AIRPORT- AZ US,1228,2003,32.85654,250.36397
48615099999,SULTAN ISMAIL PETRA- MY,961,818,6.16685,102.293014
17026099999,SINOP- TU,1320,281,42.0333333,35.1666666
52866099999,XINING- CH,1266,814,36.6166667,101.7666667
87097099999,CATARATAS DEL IGUAZU- AR,642,2444,-25.737281,305.526556
72060300195,WOODWARD FIELD AIRPORT- SC US,1242,2235,34.283,279.433
72438614835,LAFAYETTE PURDUE UNIVERSITY AIRPORT- IN US,1304,2184,40.41236,273.05261
72511954792,CLEARFIELD LAWRENCE AIRPORT- PA US,1310,2253,41.04647,281.5888
40794099999,SAFI ABAD DEZFUL- IR,1222,387,32.2666666,48.4166666
71114099999,HOPE AUT BC- CA,1393,1908,49.3666666,238.5166667
70489800113,ROBERT BOB CURTIS MEMORIAL AIRPORT- AK US,1568,1592,66.818,198.978
89834099999,D 47- AY,225,1110,-67.4,138.7333333
14652099999,BJELASNICA- BK,1337,146,43.7166666,18.2666666
24652099999,SANGARY- RS,1539,1020,63.9666666,127.4666666
72031703735,STAFFORD REGIONAL AIRPORT- VA US,1283,2260,38.39806,282.54444
40798099999,SHAHRE KORD- IR,1222,407,32.297222,50.842222
33466099999,MYRONIVKA- UP,1396,248,49.6666666,31.0
99817199999,GRAND BAY RESERVE- MS US,1203,2173,30.35,271.5833334
72344953954,ROGERS MUNICIPAL CARTER FIELD AIRPORT- AR US,1263,2127,36.37222,265.89333
86330099999,ARTIGAS INTERNATIONAL- UY,595,2428,-30.400706,303.492131
72032464753,QUAKERTOWN AIRPORT- PA US,1304,2277,40.43528,284.61806
99999903089,ROCKY FORD 1 ESE- CO US,1280,2050,38.0386,256.3052
99999994085,PIERRE 24 S- SD US,1340,2077,44.0194,259.647
99999904136,SPOKANE 17 SSW- WA US,1374,1940,47.4174,242.4736
70275726444,WHITTIER- AK US,1507,1690,60.78333,211.26667
72365823090,FARMINGTON FOUR CORNERS REGIONAL AIRPORT- NM US,1267,2014,36.74354,251.77069
54135099999,TONGLIAO- CH,1335,978,43.6,122.2666666
34880099999,ASTRAHAN- RS,1362,384,46.2833333,47.9833333
72034454920,CHEROKEE MUNICIPAL AIRPORT- IA US,1327,2116,42.73167,264.44417
68920099999,CAPE AGULHAS- SF,551,160,-34.8333333,20.0166666
47855099999,NAGASAKI- JA,1229,1039,32.916944,129.913611
41407099999,MARIB- YM,1054,363,15.4333333,45.3333333
82336099999,ITACOATIARA- BR,868,2412,-3.127256,301.518814
44325099999,ERDENI- MG,1351,782,45.15,97.7666667
60511099999,BOU CHEKIF- AG,1253,12,35.341136,1.463147
70171900490,SHUNGNAK AIRPORT- AK US,1568,1623,66.88808,202.83759
38457499999,DASHOGUZ- TX,1317,479,41.761111,59.826667
02446099999,VASTERAS- SW,1495,133,59.589444,16.633611
16706099999,CHIOS- GR,1283,209,38.343175,26.140572
99738299999,NIKISKI AK- AK US,1506,1669,60.68,208.6
16168099999,MOUNT ARGENTARIO- IT,1323,89,42.3833333,11.1666667
72289523243,LOMPOC AIRPORT- CA US,1246,1916,34.66667,239.53333
02604099999,HALMSTAD- SW,1466,103,56.691128,12.820211
61291099999,SENOU- ML,1025,2816,12.533544,352.050056
26435099999,SKRIVERI- LG,1466,201,56.65,25.1333333
72688524152,MEACHAM- OR US,1355,1933,45.511788,241.575353
37409099999,MTA SABUETI- GG,1320,348,42.0333333,43.4833333
96087099999,BATAM HANG NADIM- ID,911,833,1.1166666,104.1166666
72541614864,BIG RAPIDS ROBEN HOOD AIRPORT- MI US,1337,2196,43.71667,274.5
99999903088,WOODLAND PARK 14 WSW- CO US,1289,2038,38.9105,254.735
71737099999,SAINT MICHEL DES SAINTS- CA,1368,2287,46.8166666,285.9
85242099999,JUAN MENDOZA- BL,720,2343,-17.962589,292.923764
72315003812,ASHEVILLE REGIONAL AIRPORT- NC US,1254,2220,35.43178,277.46213
30469099999,KALAKAN- RS,1451,934,55.1166666,116.7666666
03503099999,TRAWSGOED- UK,1423,2848,52.35,356.05
71411099999,WESTERN HEAD NS- CA,1339,2363,43.9833333,295.3333334
06750099999,GUETSCH OB ANDERMATT- SZ,1366,69,46.65,8.6166666
02800099999,RAAHE NAHKIAINEN- FI,1546,191,64.6166666,23.9
03323399999,LIVERPOOL- UK,1433,2857,53.333611,357.150278
12270099999,MLAWA- PL,1430,163,53.1,20.35
16749099999,DIAGORAS- GR,1264,225,36.405419,28.086192
61415099999,NOUADHIBOU- MR,1109,2744,20.933067,342.97004400000003
56046099999,DARLAG- CH,1237,797,33.75,99.65
98646099999,MACTAN CEBU INTERNATIONAL- RP,1003,992,10.307542,123.979439
71421099999,LAC EON QUE- CA,1418,2374,51.8666666,296.7166667
17067099999,GOLCUK DUMLUPINAR- TU,1306,239,40.6666666,29.8333333
15525399999,GORNA ORYAHOVITSA- BU,1331,206,43.151444,25.712889
99999963894,MUSCLE SHOALS 2 N- AL US,1247,2179,34.7728,272.3601
74598013702,LANGLEY AIR FORCE BASE- VA US,1270,2269,37.08278,283.63972
31921099999,ASTRAHANKA- RS,1347,1057,44.7166666,132.0666666
95816099999,ROBE AIRFIELD- AS,528,1118,-37.1833333,139.8
15514099999,ORYAHOVO- BU,1336,192,43.6833333,23.9666666
74466000388,JASPER CO AIRPORT- IN US,1309,2183,40.94782,272.81736
72252712976,ANGLETON LAKE JACKSON BRAZORIA CO AIRPORT- TX US,1191,2116,29.11536,264.53677
94811099999,SECOND VALLEY FOREST- AS,544,1106,-35.5666666,138.2833333
17505099999,AKDENIZ- CY,1252,264,35.3,32.9666666
72032104893,CHEBOYGAN CO AIRPORT- MI US,1356,2204,45.65361,275.48082999999997
41391099999,HAJJAH- YM,1058,349,15.8333333,43.5833333
71715099999,RIVIERE DU LOUP QUE- CA,1377,2324,47.8,290.4666667
03238099999,ALBEMARLE- UK,1450,2865,55.0166666,358.1333334
04064099999,KIRKJUBAEJARKLAUSTUR- IC,1537,2735,63.7833333,341.9333334
48650099999,KUALA LUMPUR INTERNATIONAL- MY,927,814,2.745578,101.709917
16450099999,ENNA- IT,1275,114,37.5666667,14.2833333
99999953166,ST. GEORGE 15 NE- UT US,1272,1973,37.2157,246.6206
71750054802,PUKASKWA- ON CA,1386,2190,48.606,273.71344999999997
72552014935,GRAND ISLAND CENTRAL NE REGIONAL AIRPORT- NE US,1309,2093,40.96146,261.68696
74543103998,PARSONS TRI CITY AIRPORT- KS US,1273,2116,37.32814,264.49554
72427514894,WHEELING OHIO CO AIRPORT- WV US,1301,2235,40.16994,279.35594000000003
63684099999,TORORO- UG,906,273,0.6833333,34.1666667
37308099999,AMBROLAURI- GG,1325,345,42.5166666,43.1333333
06734099999,INTERLAKEN- SZ,1366,63,46.6666666,7.8666666
33815099999,CHISINAU- MD,1370,232,47.0166666,28.9833333
07283099999,LANGRES- FR,1378,43,47.85,5.3333333
26951099999,SLUTSK- BO,1430,220,53.0333333,27.55
95654099999,WUDINNA AERO- AS,569,1084,-33.05,135.45
72501454780,MONTAUK AIRPORT- NY US,1310,2305,41.073056,288.076495
07607099999,MONT DE MARSAN- FR,1339,2876,43.911667,359.4925
70381725357,ELFIN COVE- AK US,1481,1789,58.1916,223.6565
72205012815,ORLANDO INTERNATIONAL AIRPORT- FL US,1184,2229,28.41822,278.67587000000003
99999903090,TAOS 27 NW- NM US,1266,2032,36.6519,254.0279
08029099999,SAN SEBASTIAN- SP,1333,2866,43.356519,358.209389
99999903093,GENOA 35 N- CO US,1297,2052,39.7857,256.483
31624099999,URMI- RS,1393,1066,49.4,133.2333333
23973099999,VOROGOVO- RS,1510,717,61.0333333,89.6333333
67881099999,RUSAPE- ZI,714,257,-18.5333333,32.1333333
91611099999,TARAWA TIDE AWS- KR,913,1383,1.35,172.9333333
06356099999,HERWIJNEN AWS- NL,1418,41,51.85,5.1333333
06165099999,HESSELOE- DA,1461,94,56.2,11.7166666
12500099999,JELENIA GORA- PL,1408,126,50.9,15.8
95706099999,NARRANDERA- AS,552,1172,-34.702222,146.512222
02135099999,BURESJON- SW,1555,143,65.5666666,17.8666666
08495099999,GIBRALTAR- GI,1261,2837,36.151219,354.650336
17195099999,ERKILET- TU,1287,284,38.770386,35.495428
